,Current Status,Gender,Education,Occupation,Account type,Have minimum balance?,Have multiple accounts?,Own an active loan?,Use internet or mobile banking?,Has an active credit Card?,Ever defaulted on a loan?,Satisfied with bank service?,Any transaction in the past 24 months,Age,Opening balance,Current balance,Dist of residence from the bank,Quarterly activity rate,Months since last transaction
329,Active,Male,Post Graduate,Salaried,Current,Yes,No,No,Yes,No,No,No,Yes,30,5947,1000.0,23.7912,1.0,-3.4478
330,Dormant,Transgender,Graduate,Business,No Frill ACcount,No,No,No,No,No,No,Need Improvement,No,30,400,0.0,5.0,0.0,1.0
331,Active,Male,Graduate,Salaried,Savings,Yes,No,No,Yes,Yes,Yes,Yes,Yes,29,1000,27239.0,6.0,19.0,1.0
332,Active,Male,Graduate,Student,Savings,No,No,No,Yes,No,No,Yes,No,23,0,100.0,1.0,2.0,1.0
333,Active,Male,10th,Other,Savings,Yes,No,Yes,No,No,Yes,No,Yes,26,1000,15000.0,23.7912,2.0,3.0
334,Dormant,Female,Graduate,Other,Savings,Yes,No,No,No,No,No,Need Improvement,No,54,5947,27239.0,2.0,2.0,5.4478
335,Active,Female,12th,Not working,Current,No,No,No,No,No,No,Need Improvement,Yes,54,5000,27239.0,2.0,12.0,1.0
336,Active,Male,Post Graduate,Salaried,Savings,No,No,Yes,Yes,Yes,No,Need Improvement,Yes,28,5000,2800.0,23.7912,12.0,1.0
337,Active,Male,Post Graduate,Salaried,Salaried,Yes,No,Yes,Yes,Yes,No,Need Improvement,Yes,29,0,2500.0,15.0,41.1346,1.0
338,Active,Male,Post Graduate,Salaried,Salaried,Yes,No,Yes,Yes,Yes,No,Need Improvement,Yes,29,0,2500.0,15.0,41.1346,1.0
339,Dormant,Male,12th,Other,Savings,Yes,Yes,No,No,No,No,No,No,54,1000,1200.0,23.7912,10.0,5.4478
340,Active,Male,Post Graduate,Salaried,Savings,Yes,No,No,Yes,Yes,No,Need Improvement,Yes,28,2500,2500.0,15.0,12.0,1.0
341,Active,Male,Doctrate,Salaried,Savings,Yes,Yes,Yes,Yes,Yes,No,Need Improvement,Yes,28,2500,27239.0,1.0,12.0,1.0
342,Active,Male,Post Graduate,Business,Current,Yes,No,No,Yes,No,No,Need Improvement,Yes,28,5947,1200.0,0.5,12.0,1.0
343,Dormant,Male,10th,Student,Savings,No,No,No,No,No,No,Need Improvement,No,28,1000,200.0,11.0,2.0,5.4478
344,Active,Male,Graduate,Salaried,Salaried,Yes,No,No,Yes,No,No,Need Improvement,Yes,28,0,25000.0,1.0,12.0,1.0
345,Active,Male,Doctrate,Student,Savings,Yes,No,No,Yes,Yes,No,Need Improvement,Yes,28,5947,10000.0,1.0,12.0,1.0
346,Active,Male,Doctrate,Business,Current,Yes,No,Yes,Yes,Yes,No,Need Improvement,Yes,28,5947,10000.0,23.7912,12.0,1.0
347,Dormant,Male,Post Graduate,Business,Current,No,No,No,Yes,Yes,No,Need Improvement,No,28,1000,200.0,15.0,2.0,5.4478
348,Inactive,Male,Graduate,Student,Savings,Yes,Yes,No,Yes,No,No,Need Improvement,Yes,28,5947,4000.0,1.0,0.1,1.0
349,Active,Male,Graduate,Student,Current,Yes,No,Yes,Yes,No,No,Need Improvement,Yes,28,5947,2500.0,23.7912,12.0,1.0
350,Active,Male,Doctrate,Business,Current,No,Yes,No,Yes,No,No,Need Improvement,Yes,28,5947,120.0,1.0,12.0,1.0
351,Active,Male,Doctrate,Other,Current,Yes,No,No,No,No,No,Need Improvement,Yes,28,1500,27239.0,23.7912,12.0,1.0
352,Active,Male,Graduate,Salaried,Savings,Yes,No,No,Yes,No,No,Need Improvement,Yes,28,4600,1000.0,15.0,12.0,1.0
353,Active,Male,12th,Business,Current,Yes,No,Yes,Yes,Yes,No,Need Improvement,Yes,28,1900,2500.0,5.0,12.0,1.0
354,Active,Male,Doctrate,Salaried,Savings,Yes,No,No,No,No,No,Need Improvement,No,28,1600,4300.0,8.0,12.0,3.0
355,Active,Male,Doctrate,Salaried,Savings,Yes,No,No,No,No,No,Need Improvement,No,28,1600,4300.0,8.0,12.0,3.0
356,Active,Male,Doctrate,Salaried,Savings,Yes,No,Yes,Yes,No,No,Need Improvement,Yes,28,2500,1800.0,1.0,12.0,1.0
357,Active,Male,Graduate,Salaried,Savings,Yes,Yes,Yes,Yes,Yes,No,Need Improvement,Yes,28,1300,7500.0,23.7912,12.0,1.0
358,Active,Male,Graduate,Student,Current,Yes,Yes,No,No,No,No,Need Improvement,Yes,28,5947,27000.0,23.7912,12.0,1.0
359,Active,Male,Graduate,Business,Current,Yes,Yes,No,Yes,Yes,No,Need Improvement,Yes,29,5947,10000.0,23.7912,12.0,1.0
360,Active,Female,Graduate,Student,Savings,Yes,No,No,Yes,No,No,No,Yes,24,5000,7000.0,15.0,15.0,4.0
361,Active,Female,Doctrate,Salaried,Savings,Yes,No,Yes,Yes,Yes,No,Yes,Yes,47,5000,27239.0,2.0,41.1346,1.0
362,Active,Female,10th,Other,Pension,Yes,Yes,Yes,Yes,No,No,No,Yes,32,0,23.0,10.0,12.0,1.0
363,Active,Female,12th,Salaried,Savings,Yes,No,No,No,No,No,Need Improvement,Yes,22,1000,18900.0,2.0,41.1346,1.0
364,Active,Male,12th,Student,Savings,Yes,No,No,Yes,Yes,No,Yes,Yes,21,2000,5000.0,5.0,12.0,1.0
365,Dormant,Female,Post Graduate,Salaried,Salaried,No,Yes,No,No,No,Yes,Need Improvement,No,26,1000,205.0,23.7912,10.0,5.4478
366,Active,Male,Graduate,Salaried,Savings,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,30,5947,27239.0,5.0,12.0,1.0
367,Dormant,Male,Post Graduate,Business,Savings,No,Yes,No,No,No,No,No,No,39,500,300.0,23.7912,5.0,5.4478
368,Active,Female,Graduate,Student,Savings,Yes,No,No,No,No,No,Need Improvement,Yes,22,300,2000.0,15.0,6.0,5.4478
369,Active,Male,Doctrate,Salaried,Savings,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,35,5947,27239.0,1.0,41.1346,1.0
370,Dormant,Male,12th,Other,Senior Citizen Account,No,Yes,Yes,No,No,Yes,No,No,54,500,200.0,23.7912,5.0,5.4478
371,Dormant,Male,Graduate,Salaried,Salaried,No,Yes,No,No,Yes,No,No,No,25,5947,0.0,4.0,0.0,5.4478
372,Dormant,Male,Graduate,Student,Savings,Yes,No,No,Yes,No,No,No,Yes,21,5699,637.0,1.0,2.0,1.0
373,Dormant,Male,10th,Other,No Frill ACcount,No,Yes,Yes,No,No,No,No,No,52,500,200.0,23.7912,4.0,5.4478
374,Active,Male,Graduate,Student,Current,No,No,No,No,No,No,No,Yes,22,2000,20000.0,5.0,10.0,1.0
375,Active,Male,12th,Business,Current,No,Yes,No,Yes,No,No,Yes,Yes,46,0,27239.0,7.0,15.0,2.0
376,Active,Male,12th,Salaried,Savings,Yes,No,Yes,No,No,No,No,Yes,25,1200,27239.0,6.0,28.0,1.0
377,Active,Male,12th,Other,Savings,Yes,Yes,No,No,Yes,No,Yes,Yes,38,5947,27239.0,2.0,12.0,1.0
378,Active,Male,Post Graduate,Salaried,Salaried,Yes,Yes,Yes,Yes,No,No,Yes,Yes,30,0,8909.0,10.0,12.0,1.0
379,Active,Male,Post Graduate,Salaried,Salaried,Yes,Yes,Yes,Yes,No,No,Yes,Yes,30,0,8909.0,10.0,12.0,1.0
380,Active,Male,Graduate,Other,Current,Yes,Yes,No,No,Yes,No,Need Improvement,Yes,54,5947,27239.0,5.0,15.0,5.4478
381,Dormant,Male,Post Graduate,Other,Savings,No,No,No,No,No,No,No,No,54,1000,17800.0,4.0,2.0,5.4478
382,Active,Male,Graduate,Salaried,Savings,Yes,Yes,No,Yes,Yes,No,Yes,Yes,47,5947,27239.0,1.0,2.0,2.0
383,Active,Female,Graduate,Student,Savings,No,No,No,No,No,Yes,No,No,18,0,0.0,5.0,0.0,0.0
384,Inactive,Male,Graduate,Salaried,Current,No,No,No,No,No,No,No,Yes,48,2200,22000.0,1.0,0.1,5.4478
385,Active,Male,Graduate,Salaried,Savings,No,Yes,No,Yes,Yes,No,Yes,Yes,24,0,252.0,5.0,41.1346,1.0
386,Inactive,Male,Graduate,Student,Savings,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,22,0,0.0,4.0,0.0,1.0
387,Dormant,Male,Post Graduate,Salaried,Savings,No,Yes,No,No,No,No,Yes,Yes,36,500,103.0,23.7912,5.0,5.4478
388,Active,Transgender,10th,Student,Savings,No,Yes,No,No,No,No,No,Yes,16,1000,-0.25,23.7912,1.0,1.0
389,Active,Male,Post Graduate,Salaried,Salaried,Yes,Yes,Yes,Yes,No,No,Yes,Yes,30,0,0.0,7.0,41.1346,1.0
390,Active,Male,Graduate,Salaried,Salaried,Yes,No,Yes,Yes,No,No,Yes,Yes,25,0,500.0,23.7912,20.0,1.0
391,Active,Male,Post Graduate,Business,Savings,Yes,No,No,Yes,Yes,Yes,No,Yes,29,2000,27239.0,3.0,12.0,0.0
392,Active,Male,Graduate,Business,Savings,Yes,No,Yes,Yes,Yes,No,No,Yes,31,1500,21000.0,23.7912,28.0,3.0
393,Dormant,Male,Post Graduate,Business,Current,Yes,Yes,No,Yes,No,No,No,No,30,5947,10000.0,15.0,0.0,5.4478
394,Inactive,Female,Graduate,Student,Current,No,No,No,Yes,No,No,No,Yes,26,5947,500.0,20.0,0.0,5.4478
395,Dormant,Female,12th,Student,Savings,No,Yes,No,No,No,No,Yes,No,20,5947,300.0,5.0,0.0,5.4478
396,Dormant,Female,12th,Student,No Frill ACcount,No,No,No,No,No,No,Yes,No,20,0,100.0,23.7912,0.0,5.4478
397,Active,Female,Post Graduate,Student,Savings,Yes,No,No,Yes,No,No,Need Improvement,Yes,27,1876,21000.0,3.0,10.0,1.0
398,Active,Male,Post Graduate,Salaried,Salaried,Yes,Yes,Yes,Yes,Yes,No,No,Yes,28,1200,2100.0,2.0,19.0,1.0
399,Dormant,Female,Graduate,Salaried,Salaried,Yes,Yes,Yes,Yes,No,No,No,No,26,1000,1000.0,23.7912,0.0,5.4478
400,Active,Female,Graduate,Business,Current,Yes,No,No,Yes,Yes,No,Need Improvement,Yes,28,5947,27239.0,11.0,37.0,1.0
401,Dormant,Female,Graduate,Student,Savings,Yes,Yes,No,No,No,No,No,No,27,1000,10.0,21.0,2.0,5.4478
402,Dormant,Female,Graduate,Student,Savings,No,Yes,No,No,No,No,No,No,21,1000,106.5,23.7912,2.0,5.4478
403,Active,Female,Post Graduate,Other,Pension,No,No,Yes,No,No,No,Yes,Yes,27,1000,21000.0,23.7912,5.0,3.0
404,Dormant,Female,Graduate,Student,Savings,Yes,Yes,No,No,No,No,No,No,26,5000,189.09,4.0,1.0,5.4478
405,Dormant,Female,Graduate,Student,Savings,Yes,Yes,No,No,No,No,No,No,26,2000,70.87,17.0,2.0,5.4478
406,Dormant,Female,Post Graduate,Salaried,Salaried,Yes,No,No,Yes,No,No,Need Improvement,No,26,5000,1000.0,23.7912,14.0,5.4478
407,Inactive,Female,Graduate,Student,Savings,Yes,No,No,Yes,No,No,Need Improvement,Yes,22,5947,5000.0,5.0,0.0,5.4478
408,Inactive,Female,Graduate,Student,Savings,No,No,No,Yes,No,No,Need Improvement,Yes,27,1000,87.0,21.0,10.0,5.4478
409,Active,Female,Post Graduate,Salaried,Salaried,Yes,No,No,Yes,Yes,No,Need Improvement,Yes,27,5947,27239.0,10.0,6.0,1.0
410,Dormant,Female,Post Graduate,Salaried,Salaried,Yes,Yes,No,Yes,No,No,Yes,No,34,5947,5000.0,10.0,0.0,5.4478
411,Active,Female,Doctrate,Salaried,Salaried,Yes,No,Yes,Yes,Yes,No,Yes,Yes,50,5947,27239.0,10.0,5.0,1.0
412,Dormant,Female,Post Graduate,Business,Salaried,No,Yes,No,Yes,No,No,No,No,35,5947,5000.0,5.0,0.0,5.4478
413,Dormant,Female,10th,Other,No Frill ACcount,No,No,No,No,No,No,No,No,20,0,100.0,20.0,0.0,5.4478
414,Active,Female,Graduate,Salaried,Salaried,Yes,Yes,No,Yes,Yes,No,Yes,Yes,40,5947,10000.0,5.0,0.0,5.4478
415,Dormant,Female,Post Graduate,Salaried,Salaried,No,Yes,No,Yes,No,No,No,No,29,5947,2000.0,20.0,0.0,5.4478
416,Active,Female,Graduate,Salaried,Salaried,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,25,5947,5000.0,5.0,0.0,5.4478
417,Dormant,Female,Post Graduate,Salaried,Savings,Yes,Yes,No,Yes,No,No,No,No,26,5947,20.0,12.0,2.0,5.4478
418,Dormant,Female,Graduate,Salaried,Salaried,Yes,Yes,No,No,No,No,No,No,27,5947,10.23,13.0,2.0,5.4478
419,Dormant,Female,Post Graduate,Salaried,Salaried,Yes,Yes,No,Yes,No,No,No,No,30,5947,10000.0,10.0,0.0,5.4478
420,Active,Female,Post Graduate,Salaried,Salaried,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,35,5947,27239.0,3.0,0.0,4.0
421,Inactive,Female,Doctrate,Business,Current,Yes,Yes,Yes,Yes,Yes,No,No,No,30,5947,27239.0,5.0,0.0,5.4478
422,Active,Female,Graduate,Other,Senior Citizen Account,Yes,No,Yes,Yes,No,No,Yes,Yes,54,5947,27239.0,4.0,4.0,2.0
423,Dormant,Female,Doctrate,Salaried,Salaried,No,Yes,No,Yes,No,No,No,No,45,5947,1000.0,6.0,0.0,5.4478
424,Inactive,Female,Post Graduate,Business,Current,Yes,Yes,Yes,Yes,Yes,No,Need Improvement,Yes,35,5947,27239.0,15.0,0.0,5.4478
425,Dormant,Female,Graduate,Other,Savings,No,No,No,Yes,No,No,No,No,27,2000,500.0,23.7912,0.0,5.4478
426,Active,Female,Post Graduate,Salaried,Savings,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,29,5947,27239.0,2.0,41.1346,1.0
427,Active,Female,Graduate,Salaried,Savings,Yes,No,Yes,Yes,Yes,No,Need Improvement,Yes,31,5000,27239.0,8.0,20.0,1.0
428,Active,Female,Graduate,Student,Savings,Yes,No,No,Yes,No,No,Yes,Yes,20,1000,1000.0,10.0,12.0,1.0
429,Active,Male,Graduate,Student,Savings,Yes,Yes,No,No,No,No,Need Improvement,No,22,510,800.0,8.0,0.0,5.4478
430,Active,Male,Graduate,Student,Savings,Yes,No,No,Yes,No,No,Need Improvement,Yes,27,500,1004.0,1.0,30.0,1.0
431,Active,Male,Graduate,Other,Savings,No,No,No,No,No,Yes,No,Yes,41,2000,500.0,23.7912,10.0,5.0
432,Active,Male,Post Graduate,Business,Current,No,No,No,Yes,No,No,Yes,Yes,32,1200,1500.0,12.0,12.0,1.0
433,Dormant,Male,Graduate,Business,Savings,No,Yes,No,No,No,No,Need Improvement,No,28,2000,1000.0,5.0,0.0,5.4478
434,Active,Male,Graduate,Student,Savings,Yes,No,No,Yes,No,No,Yes,Yes,24,3000,1500.0,2.0,10.0,3.0
435,Dormant,Male,Doctrate,Salaried,Savings,Yes,Yes,No,No,No,No,No,No,35,1000,600.0,23.7912,10.0,5.4478
436,Active,Female,Graduate,Student,Savings,Yes,No,No,No,No,No,Yes,No,20,1000,7363.0,1.0,41.1346,3.0
437,Active,Female,Graduate,Student,Savings,Yes,No,No,Yes,No,No,Yes,Yes,22,500,1200.0,1.0,0.0,5.4478
438,Dormant,Female,10th,Other,Savings,No,No,No,No,No,No,Yes,No,54,1500,500.0,2.0,2.0,5.4478
439,Active,Male,Graduate,Business,Savings,Yes,No,Yes,Yes,No,No,Yes,Yes,50,5947,27239.0,2.0,3.0,1.0
440,Active,Male,12th,Salaried,Salaried,Yes,No,Yes,No,Yes,No,No,No,54,500,789.0,6.0,12.0,1.0
441,Active,Male,12th,Salaried,Salaried,Yes,No,Yes,No,Yes,No,No,No,54,500,789.0,6.0,12.0,1.0
442,Active,Male,12th,Salaried,Salaried,Yes,No,Yes,No,Yes,No,No,No,54,500,789.0,6.0,12.0,1.0
443,Active,Female,10th,Student,Savings,Yes,No,No,No,No,No,Yes,Yes,10,0,450.0,23.7912,12.0,1.0
444,Active,Male,Graduate,Salaried,Salaried,Yes,Yes,No,Yes,No,No,Yes,Yes,29,4000,2000.0,5.0,41.1346,2.0
445,Inactive,Male,Graduate,Student,Savings,Yes,Yes,No,Yes,No,No,No,Yes,22,1000,1200.0,3.0,41.1346,5.4478
446,Active,Male,Post Graduate,Salaried,Savings,No,Yes,Yes,Yes,No,No,Yes,Yes,29,0,0.0,5.0,10.0,1.0
447,Active,Female,12th,Student,Savings,Yes,No,No,Yes,No,No,Yes,Yes,10,500,27239.0,11.0,7.0,3.0
448,Dormant,Male,Post Graduate,Salaried,Savings,No,No,No,Yes,No,No,No,No,30,100,0.0,0.0,1.0,-2.0
449,Active,Female,Graduate,Salaried,Salaried,Yes,Yes,No,Yes,No,No,Yes,Yes,23,5947,27239.0,23.7912,41.1346,1.0
450,Active,Male,Post Graduate,Salaried,Savings,Yes,No,No,Yes,No,No,No,Yes,34,5000,1450.0,5.0,12.0,1.0
451,Dormant,Female,Graduate,Other,Savings,Yes,Yes,No,Yes,No,No,Yes,No,54,5947,27239.0,6.0,2.0,5.4478
452,Active,Male,Graduate,Business,Current,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,30,2000,27239.0,23.7912,26.0,3.0
453,Active,Male,Post Graduate,Salaried,Savings,No,No,No,Yes,No,No,No,Yes,28,5947,16500.0,3.0,10.0,1.0
454,Dormant,Male,Post Graduate,Salaried,Salaried,No,Yes,No,No,No,No,No,No,27,0,0.0,10.0,0.0,5.4478
455,Active,Male,Post Graduate,Salaried,Savings,Yes,Yes,No,Yes,No,No,No,Yes,28,5000,25000.0,8.0,15.0,4.0
456,Active,Female,Graduate,Salaried,Salaried,No,Yes,No,No,Yes,No,No,No,54,1000,27239.0,5.0,6.0,2.0
457,Inactive,Female,Graduate,Salaried,Salaried,Yes,Yes,No,Yes,No,No,Yes,Yes,25,0,2000.0,23.7912,0.0,5.4478
458,Active,Female,Post Graduate,Salaried,Salaried,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,34,0,10000.0,23.7912,12.0,1.0
459,Active,Male,12th,Business,Current,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,27,768,10373.0,17.0,12.0,1.0
460,Dormant,Female,12th,Student,Savings,No,No,Yes,Yes,Yes,No,Yes,No,23,1000,0.0,5.0,0.0,5.4478
461,Dormant,Female,Graduate,Other,Savings,No,No,No,Yes,No,No,Yes,No,31,5947,200.0,20.0,2.0,5.4478
462,Dormant,Male,Graduate,Business,Savings,No,Yes,No,No,No,No,No,No,39,500,200.0,5.0,10.0,5.4478
463,Dormant,Female,10th,Other,Savings,Yes,No,No,No,No,No,Yes,No,40,1000,500.0,6.0,0.0,5.4478
464,Active,Female,Graduate,Salaried,Savings,Yes,No,No,Yes,No,No,Need Improvement,Yes,28,3000,6000.0,10.0,25.0,1.0
465,Active,Female,12th,Other,Pension,Yes,No,Yes,Yes,No,No,Yes,Yes,54,500,18393.0,18.0,12.0,1.0
466,Active,Female,Post Graduate,Salaried,Salaried,Yes,No,No,No,No,Yes,No,Yes,29,500,600.0,5.0,12.0,5.4478
467,Active,Female,Doctrate,Salaried,Savings,No,No,No,No,No,No,No,Yes,52,5947,25000.0,23.0,1.0,2.0
468,Active,Male,Graduate,Salaried,Savings,Yes,No,No,Yes,Yes,No,Need Improvement,Yes,23,5947,27239.0,1.0,28.0,1.0
469,Active,Male,Graduate,Student,Savings,Yes,No,No,No,No,No,Yes,Yes,24,3000,2000.0,1.0,15.0,2.0
470,Active,Male,Graduate,Student,Savings,Yes,No,No,No,No,No,Need Improvement,Yes,30,500,4000.0,2.0,20.0,3.0
471,Active,Male,Graduate,Salaried,Savings,Yes,Yes,No,Yes,Yes,No,No,Yes,54,5000,10000.0,1.0,12.0,1.0
472,Active,Male,Graduate,Salaried,Salaried,Yes,Yes,No,Yes,No,No,No,Yes,21,500,10000.0,2.0,12.0,1.0
473,Active,Male,Post Graduate,Business,Savings,Yes,Yes,No,Yes,Yes,No,No,Yes,30,5000,27239.0,1.0,12.0,1.0
474,Active,Male,Post Graduate,Salaried,Savings,Yes,No,Yes,No,Yes,No,Yes,Yes,24,3500,27239.0,15.0,2.0,1.0
475,Active,Male,Graduate,Student,Savings,No,No,No,No,No,No,Need Improvement,Yes,23,1000,10.0,1.0,12.0,1.0
476,Dormant,Male,Graduate,Student,Savings,Yes,Yes,No,No,No,No,Yes,No,22,0,890.0,20.0,5.0,5.4478
477,Active,Male,10th,Business,Current,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,17,5947,27239.0,10.0,41.1346,1.0
478,Inactive,Male,Doctrate,Salaried,Savings,Yes,No,No,Yes,No,Yes,No,Yes,35,2000,27239.0,1.0,0.1,5.4478
479,Active,Male,10th,Other,Pension,No,No,No,No,No,No,Yes,Yes,54,0,150.0,8.0,3.0,3.0
480,Dormant,Male,Post Graduate,Other,Salaried,Yes,No,No,No,No,No,No,No,26,3000,27239.0,12.0,2.0,5.4478
481,Dormant,Male,Doctrate,Business,Pension,Yes,No,No,No,No,No,No,No,54,4000,27239.0,23.7912,2.0,5.4478
482,Inactive,Male,Post Graduate,Other,Salaried,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,54,5947,27239.0,21.0,5.0,5.4478
483,Inactive,Male,Post Graduate,Business,Salaried,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,36,5000,27239.0,23.7912,0.1,5.4478
484,Active,Male,Graduate,Salaried,Salaried,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,28,1800,12000.0,23.7912,12.0,1.0
485,Active,Male,Post Graduate,Salaried,Salaried,Yes,Yes,Yes,Yes,Yes,Yes,Need Improvement,Yes,26,500,27239.0,5.0,3.0,1.0
486,Inactive,Male,Graduate,Business,Savings,Yes,Yes,No,Yes,Yes,No,Yes,No,22,600,27239.0,20.0,0.1,5.4478
487,Dormant,Male,Post Graduate,Salaried,Salaried,Yes,Yes,Yes,Yes,No,No,Yes,Yes,29,5947,27239.0,20.0,5.0,5.4478
488,Dormant,Male,Post Graduate,Salaried,Savings,Yes,Yes,No,Yes,No,No,Need Improvement,No,29,5947,27239.0,20.0,2.0,5.4478
489,Inactive,Male,Post Graduate,Salaried,Savings,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,23,500,5000.0,23.7912,0.1,5.4478
490,Active,Male,Post Graduate,Salaried,Salaried,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,31,5000,27239.0,23.7912,3.0,5.4478
491,Inactive,Male,Post Graduate,Business,Current,Yes,No,No,No,Yes,No,Need Improvement,Yes,30,500,27239.0,10.0,0.1,5.4478
492,Dormant,Male,Graduate,Business,Savings,Yes,Yes,Yes,Yes,Yes,No,No,Yes,34,4900,27239.0,23.0,5.0,5.4478
493,Dormant,Male,Post Graduate,Business,Current,Yes,No,No,No,No,No,No,No,43,1000,27239.0,12.0,2.0,5.4478
494,Active,Male,10th,Other,Senior Citizen Account,Yes,Yes,No,Yes,Yes,No,Need Improvement,Yes,54,2000,27239.0,3.0,12.0,1.0
495,Active,Female,12th,Student,Savings,Yes,No,No,No,No,No,Yes,Yes,20,5947,12000.0,5.0,12.0,2.0
496,Dormant,Male,Graduate,Student,Savings,No,Yes,No,Yes,Yes,No,Yes,No,27,500,0.0,7.0,0.0,5.4478
497,Dormant,Male,Graduate,Student,Savings,No,Yes,No,Yes,Yes,No,Yes,No,27,500,0.0,7.0,0.0,5.4478
498,Active,Female,Post Graduate,Salaried,Pension,Yes,No,Yes,No,No,No,Need Improvement,Yes,54,500,20382.0,12.0,12.0,1.0
499,Dormant,Male,Graduate,Salaried,Savings,No,Yes,No,Yes,No,No,Yes,No,27,500,-90.0,23.7912,0.0,5.4478
500,Active,Male,Graduate,Salaried,Savings,Yes,Yes,No,No,No,No,No,Yes,30,5000,10000.0,23.7912,41.1346,5.4478
501,Dormant,Male,Graduate,Salaried,Savings,Yes,Yes,No,No,Yes,No,No,No,25,5947,0.0,3.0,0.0,5.4478
502,Active,Female,Graduate,Salaried,Salaried,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,27,0,27239.0,20.0,30.0,1.0
503,Active,Male,12th,Student,Savings,Yes,No,No,No,No,No,Yes,Yes,18,5947,3.0,6.0,10.0,1.0
504,Active,Male,Graduate,Salaried,Salaried,No,No,Yes,Yes,Yes,No,Yes,Yes,27,0,0.0,20.0,12.0,1.0
505,Active,Female,12th,Student,Savings,Yes,No,Yes,Yes,No,No,Need Improvement,Yes,20,5947,10000.0,23.7912,2.0,2.0
506,Inactive,Female,12th,Student,Savings,Yes,No,No,No,No,No,Yes,No,19,500,500.0,2.0,0.1,5.4478
507,Active,Male,Post Graduate,Student,Savings,Yes,Yes,No,Yes,No,No,Need Improvement,Yes,22,1000,750.0,23.7912,12.0,1.0
508,Inactive,Male,Graduate,Student,Savings,No,Yes,No,No,No,No,Need Improvement,No,21,500,0.0,1.0,0.1,5.4478
509,Active,Male,Post Graduate,Other,Current,Yes,Yes,No,No,No,No,Yes,Yes,23,1000,5000.0,2.0,12.0,1.0
510,Active,Male,12th,Student,Savings,Yes,No,No,No,No,No,No,Yes,16,2000,2500.0,3.0,12.0,1.0
511,Inactive,Male,Post Graduate,Business,Other,No,Yes,No,No,No,No,Need Improvement,No,24,1000,0.0,10.0,0.1,5.4478
512,Inactive,Male,12th,Student,Savings,No,Yes,No,No,No,No,Yes,No,17,1500,0.0,3.0,0.1,5.4478
513,Active,Male,Graduate,Business,Other,Yes,Yes,No,Yes,Yes,No,Need Improvement,Yes,22,5000,25000.0,7.0,12.0,1.0
514,Active,Male,Doctrate,Salaried,Salaried,Yes,Yes,Yes,Yes,Yes,No,Need Improvement,Yes,27,1000,25000.0,15.0,12.0,1.0
515,Active,Male,Doctrate,Other,Other,Yes,No,No,Yes,Yes,No,Yes,Yes,30,1000,27239.0,2.0,12.0,1.0
516,Dormant,Female,Post Graduate,Salaried,Savings,Yes,Yes,Yes,No,No,Yes,No,No,36,1500,10000.0,23.7912,15.0,5.4478
517,Active,Male,Graduate,Student,Savings,Yes,No,No,Yes,No,No,Yes,Yes,24,2000,400.0,2.0,41.1346,1.0
518,Inactive,Female,12th,Student,Savings,Yes,No,No,No,No,No,Yes,No,19,500,500.0,7.0,0.1,5.4478
519,Active,Female,Graduate,Student,Savings,Yes,No,No,No,No,No,Need Improvement,Yes,23,500,451.0,20.0,10.0,2.0
520,Active,Female,Graduate,Salaried,Savings,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,30,1000,5000.0,2.0,12.0,1.0
521,Active,Female,12th,Student,Savings,Yes,Yes,No,Yes,No,No,Need Improvement,Yes,19,100,2500.0,2.0,0.0,1.0
522,Active,Male,Graduate,Student,Current,Yes,Yes,No,Yes,Yes,No,Yes,Yes,19,5947,27239.0,5.0,41.1346,1.0
523,Dormant,Transgender,Graduate,Business,Savings,No,Yes,No,No,No,No,Yes,No,30,500,-300.0,23.7912,0.0,5.4478
524,Active,Male,Graduate,Business,Current,Yes,Yes,No,Yes,Yes,No,Need Improvement,Yes,54,5947,27239.0,4.0,12.0,1.0
525,Active,Female,Graduate,Business,Current,Yes,No,No,No,No,No,Need Improvement,Yes,50,500,6000.0,5.0,12.0,1.0
526,Dormant,Female,12th,Salaried,Savings,No,No,No,No,No,No,No,No,28,4000,4000.0,4.0,2.0,5.4478
527,Inactive,Male,Graduate,Student,Savings,Yes,No,No,No,No,No,Yes,No,20,500,1500.0,2.0,0.1,5.4478
528,Dormant,Male,Post Graduate,Salaried,Salaried,No,Yes,No,Yes,No,No,Yes,No,23,0,-400.0,23.7912,0.0,5.4478
